Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose
Jilin-1 GaoFen 03D 15;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D 16 ;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D 17;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D 18;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03D-01;NR (9/21);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03D-02;NR (9/21);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03D-03;NR (9/21);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D-04;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D-05;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D-06;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D-07;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 04A;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin 1 Kuanfu 01B;NR (9/21);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observarion
Jilin-1 Kuanfu-1;China;China;Chang Guang Satellite Technology Co. Ltd. ;Commercial;Earth Observation
Jilin-1 Mofang 02A01;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1;NR;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1-10;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1-4;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1-5;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1-6;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1-7;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1-8;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1-9;NR;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jin Zijing 1-01;NR (5/21);China;Beijing ZeroG Space Technology Co., Ltd./Hong Kong Aerospace Tech Group;Commercial;Earth Observation
Jin Zijing 1-02;NR (5/21);China;Beijing ZeroG Space Technology Co., Ltd./Hong Kong Aerospace Tech Group;Commercial;Earth Observation
Jin Zijing 2;NR (1/22);China;Beijing ZeroG Space Technology Co., Ltd./Hong Kong Aerospace Tech Group;Commercial;Earth Observation
Jingshi-1;NR;China;Chinese University Corporation for Polar Research;Civil;Earth Observation
JYISat;NR;Jordan;Crown Prince Foundation;Civil;Communications
Kaituo-1A;NR;China;China Aerospace Science and Technology Corp. (CASC);Government;Technology Development
Kanopus-B;Russia;Russia;Scientific Production Corporation (joint stock creation of Russian Space Agency);Government;Earth Observation
Kanopus-V-IK-2;Russia;Russia;Roscosmos State Corporation;Government;Earth Observation
Kanopus-V-IK-3;Russia;Russia;Roscosmos State Corporation;Government;Earth Observation
Kanopus-V-IK-4;Russia;Russia;Roscosmos State Corporation;Government;Earth Observation
Kanopus-V-IK-5;Russia;Russia;Roscosmos State Corporation;Government;Earth Observation
Kanopus-V-IK-6;Russia;Russia;Roscosmos State Corporation;Government;Earth Observation
KazEOSat-1;NR;Kazakhstan;Kazcosmos;Government;Earth Observation
KazEOSat-2;NR;Kazakhstan;Kazcosmos;Government;Earth Observation
KazSat-2;Kazakhstan;Kazakhstan;JSC KazSat;Commercial;Communications
KazSat-3;NR;Kazakhstan;JSC KazSat;Commercial;Communications
KazSTSAT;NR;Kazakhstan;Ghalam LLP;Commercial;Earth Observation
Kent Ridge 1;NR;Singapore;National University of Singapore;Civil;Earth Observation
Kepler-10 BABY YODA;NR (5/21);Canada;Kepler Communications;Commercial;Communications
Kepler-11 DANEEL;NR (5/21);Canada;Kepler Communications;Commercial;Communications
Kepler-12 BOBA;NR (5/21);Canada;Kepler Communications;Commercial;Communications
Kepler-13 LUCKY;NR (5/21);Canada;Kepler Communications;Commercial;Communications
Kepler-14 STELLA;NR (5/21);Canada;Kepler Communications;Commercial;Communications
Kepler-15 SUDORMRF;NR (5/21);Canada;Kepler Communications;Commercial;Communications
Kepler-16 ASTRAEUS;NR (4/22);Canada;Kepler Communications;Commercial;Communications
Kepler-17 KARINA;NR (4/22);Canada;Kepler Communications;Commercial;Communications
Kepler-18 BLIP-A;NR (4/22);Canada;Kepler Communications;Commercial;Communications
Kepler-19;NR (4/22);Canada;Kepler Communications;Commercial;Communications
Kepler-2 CASE;NR (12/20);Canada;Kepler Communications;Commercial;Communications
Kepler-3 TARS;NR (12/20);Canada;Kepler Communications;Commercial;Communications
Kepler-4 ANTILLES;NR (12/20);Canada;Kepler Communications;Commercial;Communications
Kepler-5 AMIDALA;NR (12/20);Canada;Kepler Communications;Commercial;Communications
Kepler-6 ROCINANTE;NR (5/21);Canada;Kepler Communications;Commercial;Communications
Kepler-7 C3PO;NR (5/21);Canada;Kepler Communications;Commercial;Communications
Kepler-8 AMAROK;NR (5/21);Canada;Kepler Communications;Commercial;Communications
Kepler-9 ARTEMIS;NR (5/21);Canada;Kepler Communications;Commercial;Communications
KestrelEye IIM;USA;USA;US Army Space and Missile Defense Command/Army Forces Strategic Command;Military;Earth Observation/Technology Development
USA 186;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 224;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 245;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 290;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 314;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
KhalifaSat;United Arab Emirates;United Arab Emirates;Emirates Institution for Advanced Science & Technology (EIAST);Government;Earth Observation
KIPP-1;NR;United Kingdom;Kepler Communications;Commercial;Communications
Kirameki 2;Japan;Japan;Ministry of Defense;Military;Communications
KJSY-1;NR;China;Tsinghua University;Civil;Technology Development
KKS-1;Japan;Japan;Tokyo Metropolitan College of Industrial Technology;Civil;Technology Development
KL-Alpha-A ;China;Germany;KLEO Connect;Commercial;Technology Development
KL-Alpha-B;China;Germany;KLEO Connect;Commercial;Technology Development
KL-Beta-A;NR (9/21);Germany;KLEO Connect;Commercial;Technology Development
KL-Beta-B;NR (9/21);Germany;KLEO Connect;Commercial;Technology Development
KMSL (Korea Microgravity Science Laboratory);NR (12/20);South Korea;Chosun University;Civil;Space Science
Kompsat-2;South Korea;South Korea;Korea Aerospace Research Institute (KARI);Government/Commercial;Earth Observation/Technology Development
Kompsat-3;South Korea;South Korea;Korea Aerospace Research Institute (KARI);Government/Commercial;Earth Observation
Kompsat-3A;South Korea;South Korea;Korea Aerospace Research Institute (KARI);Government/Commercial;Earth Observation
Kompsat-5;South Korea;South Korea;Korea Aerospace Research Institute (KARI);Government/Commercial;Earth Observation
Cosmos 2487;Russia;Russia;Ministry of Defense;Military;Earth Observation
Koreasat 5;South Korea;South Korea;KT Corporation/Korean Agency for Defense Development (ADD);Military/Commercial;Communications
Koreasat 5A;South Korea;South Korea;KT Corporation;Commercial;Communications
Koreasat 6;South Korea;South Korea;KT Corporation;Commercial;Communications
Koreasat 7;South Korea;South Korea;KT Corporation;Commercial;Communications
KOSEN-1;NR (1/22);Japan;National Institute of Technology at Kochi College;Civil;Technology Development
KSF1-A;NR (9/21);Luxembourg;Kleos Space;Commercial;Earth Observation
KSF1-B;NR (9/21);Luxembourg;Kleos Space;Commercial;Earth Observation
KSF2-A;NR (4/22);Luxembourg;Kleos Space;Commercial;Earth Observation
KSF2-B;NR (4/22);Luxembourg;Kleos Space;Commercial;Earth Observation
KSF2-C;NR (4/22);Luxembourg;Kleos Space;Commercial;Earth Observation
KSF2-D;NR (4/22);Luxembourg;Kleos Space;Commercial;Earth Observation
KSFI-C;NR (9/21);Luxembourg;Kleos Space;Commercial;Earth Observation
KSFI-D;NR (9/21);Luxembourg;Kleos Space;Commercial;Earth Observation
KSM-1A;Luxembourg;Luxembourg;Kleos Space;Commercial;Earth Observation
KSM-1B;Luxembourg;Luxembourg;Kleos Space;Commercial;Earth Observation
KSM-1C;Luxembourg;Luxembourg;Kleos Space;Commercial;Earth Observation
KSM-1D;Luxembourg;Luxembourg;Kleos Space;Commercial;Earth Observation
KSU Cubesat;NR (5/21);Saudi Arabia;College of Engineering, King Saud University;Civil;Technology Development
KX-09;NR;China;Chinese Academy of Sciences;Government;Space Science
USA 152;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 182;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
LacunaSat-2B;United Kingdom;United Kingdom/Netherlands;Lacuna Space;Commercial;Communications
LacunaSat-3;Lithuania;United Kingdom;Lacuna Space;Commercial;Communications
Ladybird 1;NR;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development
Ladybird 2;NR;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development
Ladybird 3;NR;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development
Ladybird 4;NR;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development
Ladybird 5;NR;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development
Ladybird 6;NR;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development
Ladybird 7;NR;China;Beijing Commsat Technology Development Co. Ltd.;Commercial;Technology Development
Landmapper BC3.v2;USA;USA;Astro Digital;Commercial;Earth Observation
Landmapper BC4;USA;USA;Astro Digital;Commercial;Earth Observation 
Landsat 7;USA;USA;National Aeronautics and Space Administration (NASA)/US Geological Survey;Government;Earth Observation
Landsat 8;USA;USA;National Aeronautics and Space Administration (NASA)/US Geological Survey;Government;Earth Observation
Landsat 9;USA;USA;National Aeronautics and Space Administration (NASA)/US Geological Survey;Government;Earth Observation
LaoSat-1;Laos;Laos;Laos National Authority for Science and Technology;Government;Communications
LAPAN A2;Indonesia;Indonesia;Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN);Government;Earth Observation
LAPAN A3;Indonesia;Indonesia;Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN);Government;Earth Observation
LAPAN-Tubsat;Indonesia;Indonesia;Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN);Government;Earth Observation/Technology Development
LatinSat A;NR;Argentina;Aprize Satellite Argentina;Commercial;Communications
LatinSat B;NR;Argentina;Aprize Satellite Argentina;Commercial;Communications
LDPE-1;NR (1/22);USA;US Space Force;Military;Technology Development
LEDSat;NR (9/21);Italy;Sapienza;Civil;Technology Development
Lemur 1;USA;USA;Spire Global Inc.;Commercial;Technology Development
Lemur 2 AC-Cubed ;NR (9/21);USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F80;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2FM106;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2FM162;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F47;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F31;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur-2 AnnaBanana;NR (9/21);USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F16;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F43;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2FM98;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F52;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F71;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur-2 CarlSantaMari ;NR (9/21);USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F130;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F83;NR;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F4;NR;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F90;Luxembourg;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F95;Luxembourg;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F69;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur FM123;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F49;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur;Luxembourg;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur-2 Djirang;NR (4/22);USA;Spire Global Inc.;Commercial;Earth Observation
Lemur FM116;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F87;NR;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F57;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2FM105;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur2FM104;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2FM99;Luxembourg;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur FM114;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F45;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F42;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2FM108;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F89;Luxembourg;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2FM109;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2 Jackson;NR (9/21);USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F131;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F30;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F129;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F3;NR;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F127;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F76;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F22;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F1;NR;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2FM97;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2 John-Treires ;NR (9/21);USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2FM110;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F74;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur-2 King-Julien;NR (4/22);USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F86;NR;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F37;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2FM107;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F40;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F55;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F36;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F41;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F137;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F73;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F70;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F56;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F38;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2 Merima ;NR (9/21);USA;Spire Global Inc.;Commercial;Earth Observation
Lemur 2F27;USA;USA;Spire Global Inc.;Commercial;Earth Observation
Lemur-2 Miriwari;NR (4/22);USA;Spire Global Inc.;Commercial;Earth Observation
